ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
CMRva1996,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1996,va,6,-1.444529,0.1939854,-1.7626651,-1.1263929,31.5663865,3.3952278,25.9982129,37.1345601,..,..,..,..,..,..,..,..,..,0,..,..,0.2044444,..,..,..,..,..,..,0.3,..,..,..,..,..,..,..,0.5833332999999999,..,..,0.3379667,..,..,..,0.3125
CODva1996,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1996,va,4,-1.9463393999999998,0.23039939999999998,-2.3241944,-1.5684844,22.7834555,4.0325628,16.1700525,29.396858499999997,..,..,..,..,..,..,..,..,..,..,..,..,0.1088889,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,0.2941,..,..,..,0.125
COGva1996,"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,1996,va,5,-0.9092907,0.2213967,-1.2723813,-0.5462001,40.934388899999995,3.8749933999999997,34.579399699999996,47.289378199999994,..,..,..,..,..,..,..,..,..,..,..,..,0.5166666999999999,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,0.4166667,..,..,0.4746778,..,..,..,0.125
COLva1996,Colombia,COL,Latin America & Caribbean,Upper middle income,1996,va,8,-0.6150076999999999,0.1930084,-0.9315414999999999,-0.2984739,46.0850739,3.3781277,40.5449445,51.625203199999994,..,..,..,..,..,..,..,..,..,0.25,..,..,0.48333329999999997,..,..,..,..,..,..,0.6,..,..,..,0.15,..,..,..,0.4166667,..,..,0.5421556,..,0.32,..,0.4375
COMva1996,Comoros,COM,Sub-Saharan Africa,Lower middle income,1996,va,4,-0.5818247999999999,0.24508,-0.983756,-0.1798936,46.6658572,4.28951,39.6310608,53.700653599999995,..,..,..,..,..,..,..,..,..,..,..,..,0.5399999999999999,..,..,..,..,..,..,0.75,..,..,..,..,..,..,..,..,..,..,0.4819,..,..,..,0.25
CPVva1996,Cabo Verde,CPV,Sub-Saharan Africa,Upper middle income,1996,va,3,0.8488498999999999,0.2788181,0.3915882,1.3061116,71.7062254,4.880010899999999,63.7030075,79.70944329999999,..,..,..,..,..,..,..,..,..,..,..,..,0.8377778,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,0.6476999999999999,..,..,..,..
CRIva1996,Costa Rica,CRI,Latin America & Caribbean,High income,1996,va,7,1.0999987,0.1938256,0.7821247,1.4178727,76.10195449999999,3.3924306,70.5383683,81.6655407,..,..,..,..,..,..,..,..,..,0.75,..,..,0.8911110999999999,..,..,..,..,..,..,1,..,..,..,0.19999999999999998,..,..,..,0.9166667,..,..,0.7177889,..,..,..,0.75
CUBva1996,Cuba,CUB,Latin America & Caribbean,Upper middle income,1996,va,6,-1.4011373999999999,0.1939854,-1.7192735,-1.0830013,32.3258475,3.3952278,26.7576739,37.894021099999996,..,..,..,..,..,..,..,..,..,0.25,..,..,0.0166667,..,..,..,..,..,..,0.09999999999999999,..,..,..,..,..,..,..,0.4166667,..,..,0.4218556,..,..,..,0.25
CYMva1996,Cayman Islands,CYM,Latin America & Caribbean,High income,1996,va,1,1.4714379,0.45889549999999996,0.7188492999999999,2.2240265,82.603065,8.0318132,69.4308913,95.7752387,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
CYPva1996,Cyprus,CYP,Europe & Central Asia,High income,1996,va,6,1.0321297,0.1939854,0.7139936,1.3502657999999998,74.9140781,3.3952278,69.3459045,80.48225169999999,..,..,..,..,..,..,..,..,..,0.875,..,..,0.82,..,..,..,..,..,..,0.7999999999999999,..,..,..,..,..,..,..,0.8333332999999999,..,..,0.6728556,..,..,..,0.8125
CZEva1996,Czechia,CZE,Europe & Central Asia,High income,1996,va,7,0.9847754,0.19316619999999998,0.6679828,1.3015679999999998,74.08525999999999,3.3808895999999997,68.540601,79.629919,..,..,..,..,..,..,..,..,..,0.5,..,..,0.9119999999999999,..,..,..,..,..,..,0.8999999999999999,..,..,..,..,..,..,..,1,..,..,0.7377556,..,0.48879999999999996,..,0.8125
DEUva1996,Germany,DEU,Europe & Central Asia,High income,1996,va,7,1.6014823999999999,0.19316619999999998,1.2846898,1.918275,84.8791675,3.3808895999999997,79.3345085,90.4238264,..,..,..,..,..,..,..,..,..,1,..,..,0.9077778,..,..,..,..,..,..,0.8999999999999999,..,..,..,..,..,..,..,0.9166667,..,..,0.7868999999999999,..,0.4571,..,1
DJIva1996,Djibouti,DJI,Middle East & North Africa,Lower middle income,1996,va,4,-1.0403167,0.24508,-1.4422479,-0.6383854999999999,38.6411078,4.28951,31.6063114,45.6759042,..,..,..,..,..,..,..,..,..,..,..,..,0.3266667,..,..,..,..,..,..,0.75,..,..,..,..,..,..,..,..,..,..,0.4070333,..,..,..,0.25
DMAva1996,Dominica,DMA,Latin America & Caribbean,Upper middle income,1996,va,3,1.0624225,0.3010208,0.5687483999999999,1.5560965999999998,75.4442775,5.2686131,66.803752,84.084803,..,..,..,..,..,..,..,..,..,..,..,..,0.9466667,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75
DNKva1996,Denmark,DNK,Europe & Central Asia,High income,1996,va,7,1.6513007,0.19316619999999998,1.3345080999999999,1.9680932999999998,85.7511117,3.3808895999999997,80.2064527,91.29577069999999,..,..,..,..,..,..,..,..,..,1,..,..,0.97,..,..,..,..,..,..,1,..,..,..,..,..,..,..,1,..,..,0.7336667,..,0.5921,..,1
DOMva1996,Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1996,va,6,-0.2211242,0.1939854,-0.5392603,0.0970119,52.979015499999996,3.3952278,47.4108419,58.5471891,..,..,..,..,..,..,..,..,..,0.25,..,..,0.6711111,..,..,..,..,..,..,0.8999999999999999,..,..,..,..,..,..,..,0.5833332999999999,..,..,0.5527556,..,..,..,0.5
DZAva1996,Algeria,DZA,Middle East & North Africa,Upper middle income,1996,va,6,-1.1494731999999999,0.1939854,-1.4676093,-0.8313370999999999,36.7305974,3.3952278,31.1624238,42.298770999999995,..,..,..,..,..,..,..,..,..,0.375,..,..,0.1144444,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,0.3333333,..,..,0.47655559999999997,..,..,..,0.125
ECUva1996,Ecuador,ECU,Latin America & Caribbean,Upper middle income,1996,va,7,-0.1631172,0.1938256,-0.48099119999999995,0.1547568,53.994282399999996,3.3924306,48.4306962,59.5578686,..,..,..,..,..,..,..,..,..,0.25,..,..,0.6444443999999999,..,..,..,..,..,..,0.8999999999999999,..,..,..,0.26999999999999996,..,..,..,0.5833332999999999,..,..,0.6214111,..,..,..,0.4375
EGYva1996,"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1996,va,6,-1.1471164,0.1939854,-1.4652524999999998,-0.8289803,36.771847199999996,3.3952278,31.2036736,42.3400208,..,..,..,..,..,..,..,..,..,0.25,..,..,0.2111111,..,..,..,..,..,..,0.3,..,..,..,..,..,..,..,0.5,..,..,0.35396669999999997,..,..,..,0.4375
ERIva1996,Eritrea,ERI,Sub-Saharan Africa,Low income,1996,va,4,-1.5147614,0.24508,-1.9166926,-1.1128301999999999,30.3371447,4.28951,23.3023483,37.3719411,..,..,..,..,..,..,..,..,..,..,..,..,0.3288889,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,0.31443329999999997,..,..,..,0.125
ESPva1996,Spain,ESP,Europe & Central Asia,High income,1996,va,7,1.2347382,0.19316619999999998,0.9179455999999999,1.5515307999999999,78.4602311,3.3808895999999997,72.91557209999999,84.0048901,..,..,..,..,..,..,..,..,..,0.75,..,..,0.8811110999999999,..,..,..,..,..,..,1,..,..,..,..,..,..,..,0.9166667,..,..,0.7344556,..,0.40449999999999997,..,0.9375
ESTva1996,Estonia,EST,Europe & Central Asia,High income,1996,va,5,0.9347185,0.2093266,0.5914229,1.2780141,73.2091396,3.6637362999999996,67.2006122,79.2176671,..,..,..,..,..,..,..,..,..,0.625,..,..,0.8643333,..,..,..,..,..,..,0.8999999999999999,..,..,..,..,..,..,..,..,..,..,0.7330888999999999,..,..,..,0.75
ETHva1996,Ethiopia,ETH,Sub-Saharan Africa,,1996,va,6,-1.230693,0.1939854,-1.5488290999999998,-0.9125569,35.3090487,3.3952278,29.7408751,40.8772223,..,..,..,..,..,..,..,..,..,0.125,..,..,0.4044444,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,0.3333333,..,..,0.3951222,..,..,..,0.25
FINva1996,Finland,FIN,Europe & Central Asia,High income,1996,va,7,1.6377762999999999,0.19316619999999998,1.3209837,1.9545689,85.51440099999999,3.3808895999999997,79.969742,91.05906,..,..,..,..,..,..,..,..,..,1,..,..,0.95,..,..,..,..,..,..,1,..,..,..,..,..,..,..,1,..,..,0.7356667,..,0.5735,..,1
