ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
CUBcc1996,Cuba,CUB,Latin America & Caribbean,Upper middle income,1996,cc,4,-0.0339506,0.2316749,-0.41389739999999997,0.3459962,47.1676152,4.689455,39.476909,54.858321499999995,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.421,..,..,..,0.625
CYMcc1996,Cayman Islands,CYM,Latin America & Caribbean,High income,1996,cc,1,1.3626213,0.43525349999999996,0.6488056,2.076437,75.4363736,8.8101983,60.9876484,89.8850987,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.875
CYPcc1996,Cyprus,CYP,Europe & Central Asia,High income,1996,cc,4,1.5416273999999999,0.2316749,1.1616806,1.9215742,79.0597317,4.689455,71.36902549999999,86.750438,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8333332999999999,..,..,0.816,..,..,..,0.625
CZEcc1996,Czechia,CZE,Europe & Central Asia,High income,1996,cc,6,0.8082923999999999,0.1996623,0.4808462,1.1357386,64.215906,4.0414717,57.587892399999994,70.84391959999999,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,0.625,..,..,..,..,..,..,..,..,..,..,..,..,0.6666667,..,..,0.74,..,0.40659999999999996,..,0.75
DEUcc1996,Germany,DEU,Europe & Central Asia,High income,1996,cc,6,2.0380023,0.1996623,1.7105561,2.3654485,89.1071214,4.0414717,82.4791079,95.735135,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,0.8283332999999999,..,..,..,..,..,..,..,..,..,..,..,..,0.8333332999999999,..,..,0.989,..,0.7252,..,1
DJIcc1996,Djibouti,DJI,Middle East & North Africa,Lower middle income,1996,cc,2,-0.6200614999999999,0.3430487,-1.1826614,-0.057461599999999995,35.3038312,6.9438325,23.9159459,46.6917165,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.299,..,..,..,0.375
DMAcc1996,Dominica,DMA,Latin America & Caribbean,Upper middle income,1996,cc,1,0.8945863,0.43525349999999996,0.1807706,1.6084019999999999,65.962627,8.8101983,51.5139018,80.4113521,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75
DNKcc1996,Denmark,DNK,Europe & Central Asia,High income,1996,cc,6,2.3558581,0.1996623,2.0284119,2.6833043,95.54101059999999,3.3801837999999997,88.91299699999999,100.0,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,0.8916666999999999,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,0.998,..,0.9546,..,1
DOMcc1996,Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1996,cc,4,-0.169797,0.2316749,-0.5497438,0.2101498,44.417875599999995,4.689455,36.7271694,52.1085819,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6666667,..,..,0.182,..,..,..,0.5
DZAcc1996,Algeria,DZA,Middle East & North Africa,Upper middle income,1996,cc,4,-0.6307227,0.2316749,-1.0106694999999999,-0.2507759,35.0880322,4.689455,27.3973259,42.778738399999995,..,..,..,..,..,..,..,..,..,0.125,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.419,..,..,..,0.25
