DataSourceCode,Organization,DataSource,indicator,econ_code,econ_name,region,income_class,production_year,wgi_dimension,value,minimum,maximum,orientation
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,UGA,Uganda,Sub-Saharan Africa,Low income,2005,rl,0.763,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2005,rl,0.899,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2005,rl,0.95,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2005,rl,0.685,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2005,rl,0.4897872340425532,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2005,rl,0.716,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2005,rl,0.878,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2005,rl,0.981,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2005,rl,0.727,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2005,rl,0.3172995780590717,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2005,rl,0.495,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2005,rl,0.3948126801152738,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2005,rl,0.555,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,BEN,Benin,Sub-Saharan Africa,Lower middle income,2008,rl,0.863,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,BEN,Benin,Sub-Saharan Africa,Lower middle income,2008,rl,0.968,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,BEN,Benin,Sub-Saharan Africa,Lower middle income,2008,rl,0.838,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,BEN,Benin,Sub-Saharan Africa,Lower middle income,2008,rl,0.547,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,BEN,Benin,Sub-Saharan Africa,Lower middle income,2008,rl,0.528,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,BFA,Burkina Faso,Sub-Saharan Africa,Low income,2008,rl,0.787,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,BFA,Burkina Faso,Sub-Saharan Africa,Low income,2008,rl,0.923,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,BFA,Burkina Faso,Sub-Saharan Africa,Low income,2008,rl,0.715,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,BFA,Burkina Faso,Sub-Saharan Africa,Low income,2008,rl,0.6970000000000001,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,BFA,Burkina Faso,Sub-Saharan Africa,Low income,2008,rl,0.6779999999999999,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2008,rl,0.898,0,1,1
